City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
138,Dikson,RU,2020-10-25 03:44:31,73.51,80.55,21.49,92,44,7.96
139,Ancud,CL,2020-10-25 03:48:32,-41.87,-73.82,44.01,93,5,8.05
140,Cliza,BO,2020-10-25 03:48:32,-17.6,-65.93,68.0,42,75,11.41
141,Rocha,UY,2020-10-25 03:48:32,-34.48,-54.33,58.55,97,27,4.0
142,Diffa,NE,2020-10-25 03:48:32,13.32,12.61,78.24,25,80,10.92
143,Saskylakh,RU,2020-10-25 03:48:32,71.92,114.08,11.44,94,100,18.14
144,Arrifes,PT,2020-10-25 03:48:32,37.77,-25.7,62.6,88,40,4.7
145,Luderitz,NA,2020-10-25 03:46:05,-26.65,15.16,62.24,60,54,18.75
146,Kavieng,PG,2020-10-25 03:48:32,-2.57,150.8,84.65,69,30,3.31
147,Port Moresby,PG,2020-10-25 03:48:33,-9.44,147.18,83.01,73,29,8.61
148,Matola,MZ,2020-10-25 03:48:33,-25.96,32.46,66.2,93,20,6.93
149,Saint George,US,2020-10-25 03:48:33,37.1,-113.58,66.2,39,40,8.05
150,Katsuura,JP,2020-10-25 03:48:33,35.13,140.3,71.01,34,20,6.93
151,Drumheller,CA,2020-10-25 03:43:50,51.46,-112.71,14.0,46,11,4.81
152,Kangaatsiaq,GL,2020-10-25 03:48:33,68.31,-53.46,22.41,93,66,12.86
153,Bambous Virieux,MU,2020-10-25 03:44:42,-20.34,57.76,71.6,83,75,11.41
154,Juneau,US,2020-10-25 03:45:00,58.3,-134.42,37.0,73,90,1.86
155,Peniche,PT,2020-10-25 03:48:34,39.36,-9.38,64.0,86,86,13.0
156,Torbay,CA,2020-10-25 03:47:01,47.67,-52.73,51.01,100,90,14.99
157,Cherskiy,RU,2020-10-25 03:48:34,68.75,161.3,15.21,95,29,3.62
158,Ratchaburi,TH,2020-10-25 03:48:34,13.58,99.53,82.67,60,47,6.04
159,Havre-Saint-Pierre,CA,2020-10-25 03:48:34,50.23,-63.6,35.6,80,1,11.41
160,Villazon,BO,2020-10-25 03:48:34,-22.09,-65.59,54.19,60,20,3.85
161,Puerto Ayora,EC,2020-10-25 03:48:34,-0.74,-90.35,69.01,92,99,8.01
162,Yamada,JP,2020-10-25 03:48:35,39.47,141.95,54.1,65,64,13.96
163,Baie-Comeau,CA,2020-10-25 03:48:35,49.22,-68.15,35.6,64,90,6.93
164,Cidreira,BR,2020-10-25 03:48:35,-30.18,-50.21,68.72,92,24,16.31
165,Eureka,US,2020-10-25 03:48:14,40.8,-124.16,52.0,85,7,3.2
166,Marks,RU,2020-10-25 03:48:35,51.71,46.75,48.99,98,100,1.01
167,Kidal,ML,2020-10-25 03:48:35,18.44,1.41,73.87,19,0,9.86
168,Moron,AR,2020-10-25 03:48:35,-34.65,-58.62,66.99,98,0,5.99
169,Bacolod,PH,2020-10-25 03:48:35,10.67,122.95,82.33,78,100,1.95
170,Te Anau,NZ,2020-10-25 03:48:35,-45.42,167.72,57.4,92,100,1.95
171,Husavik,IS,2020-10-25 03:48:36,66.04,-17.34,41.0,80,90,19.46
172,Narsaq,GL,2020-10-25 03:46:39,60.92,-46.05,26.6,68,100,5.53
