City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
155,Kichera,RU,55.94,110.1,39.07,69,100,1.7,overcast clouds
156,Gat,IL,31.61,34.76,78.01,27,94,5.91,overcast clouds
157,Chokurdakh,RU,70.63,147.92,10.33,96,25,10.33,scattered clouds
158,Goundam,ML,16.41,-3.67,79.93,15,0,9.89,clear sky
159,Grosseto,IT,42.83,11.25,54,87,40,2.24,scattered clouds
160,Codrington,AU,-38.27,141.97,51.12,65,11,21.63,few clouds
161,Kahului,US,20.89,-156.47,82.4,65,1,4.7,clear sky
162,Chumikan,RU,54.72,135.31,38.57,74,95,16.35,overcast clouds
163,Isangel,VU,-19.55,169.27,80.6,65,75,5.82,broken clouds
164,Saint-Philippe,RE,-21.36,55.77,82.4,51,0,25.28,clear sky
165,Nago,JP,26.59,127.98,77,53,40,11.41,scattered clouds
166,Quelimane,MZ,-17.88,36.89,80.6,74,75,9.17,broken clouds
167,Tiznit,MA,29.58,-9.5,60.89,46,53,1.45,broken clouds
168,Pasaco,GT,13.98,-90.21,75.42,88,100,4.29,overcast clouds
169,Walvis Bay,NA,-22.96,14.51,57.2,87,90,10.29,overcast clouds
170,Waipawa,NZ,-41.41,175.52,62.6,82,0,26.4,clear sky
171,Sitka,US,57.05,-135.33,39.2,44,1,2.75,clear sky
172,Morant Bay,JM,17.88,-76.41,82.4,78,40,21.92,scattered clouds
173,Gamba,GA,-2.65,10,77.83,86,100,7.38,light rain
174,Teloloapan,MX,18.35,-99.85,64,78,81,2.39,broken clouds
175,Bastrop,US,32.76,-91.87,53.6,100,90,4.32,mist
176,Port Lincoln,AU,-34.73,135.87,56.07,54,0,16.04,clear sky
177,Lima,PE,-12.04,-77.03,62.6,82,90,8.05,overcast clouds
178,Manokwari,ID,-0.87,134.08,84.27,67,100,2.82,moderate rain
179,Torbay,CA,47.67,-52.73,52,100,90,14.99,heavy intensity rain
180,Partizanskoye,RU,55.5,94.39,31.24,82,100,15.14,overcast clouds
181,Kloulklubed,PW,7.04,134.26,86,70,75,4.7,broken clouds
182,Khani,GE,41.96,42.96,64.4,55,0,6.93,clear sky
183,East London,ZA,-33.02,27.91,66.2,93,75,13.87,broken clouds
184,Vaitape,PF,-16.52,-151.75,80.28,73,79,3.62,light rain
185,Chapais,CA,49.78,-74.85,21.2,92,1,5.82,clear sky
186,Am Timan,TD,11.03,20.28,83.14,30,1,6.04,clear sky
187,Gladstone,AU,-23.85,151.25,77,73,75,11.41,broken clouds
188,Tilichiki,RU,60.47,166.1,30.07,96,0,4.03,clear sky
189,Chester,US,40.13,-75.87,44.6,75,40,7.78,scattered clouds
190,Nishihara,JP,26.18,127.76,77,44,40,10.29,scattered clouds
191,Havre-Saint-Pierre,CA,50.23,-63.6,32,84,1,10.29,clear sky
192,San Miguel,SV,13.48,-88.18,74.16,94,100,2.17,overcast clouds
193,Adrar,MR,20.5,-10.07,82.51,15,100,7.43,overcast clouds
194,Alamosa,US,37.47,-105.87,42.8,41,1,5.82,clear sky
195,Mahebourg,MU,-20.41,57.7,78.8,61,75,16.11,shower rain
196,Labuhan,ID,-6.88,112.21,88.25,60,98,9.35,light rain
