City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
95,Hilo,US,78.8,moderate rain,19.73,-155.09,Hilo Hawaiian Hotel
98,Bengkulu,ID,80.46,overcast clouds,-3.8,102.27,Grage Hotel Bengkulu
101,Tubuala,PA,78.01,scattered clouds,9.52,-79.03,
106,Cabo San Lucas,MX,78.01,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
110,Ahuimanu,US,80.6,scattered clouds,21.44,-157.84,Paradise Bay Resort
111,Trat,TH,87.93,moderate rain,12.5,102.5,สวนหนิง-อัศ
114,Mayor Pablo Lagerenza,PY,79.38,clear sky,-19.93,-60.77,
127,Bambous Virieux,MU,78.8,shower rain,-20.34,57.76,Casa Tia Villa
134,Tevaitoa,PF,80.1,light rain,-16.78,-151.5,Hôtel Raiatea Lodge
136,Port-Gentil,GA,78.8,scattered clouds,-0.72,8.78,Fengshui Residence
139,Sinjai,ID,88.2,overcast clouds,-5.12,120.25,Wisma Sandika
143,Mucurapo,TT,75.99,few clouds,10.67,-61.53,Courtyard by Marriott Port of Spain
146,Salalah,OM,86.0,clear sky,17.02,54.09,HAMDAN PLAZA HOTEL
147,Geraldton,AU,87.8,clear sky,-28.77,114.6,Broadwater Mariner Resort
156,Gat,IL,78.01,overcast clouds,31.61,34.76,OlusHome
158,Goundam,ML,79.93,clear sky,16.41,-3.67,
161,Kahului,US,82.4,clear sky,20.89,-156.47,Maui Seaside Hotel
163,Isangel,VU,80.6,broken clouds,-19.55,169.27,Volcano Sea View Tree House
164,Saint-Philippe,RE,82.4,clear sky,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
165,Nago,JP,77.0,scattered clouds,26.59,127.98,Hotel Yugaf Inn Okinawa
166,Quelimane,MZ,80.6,broken clouds,-17.88,36.89,Hotel Flamingo
168,Pasaco,GT,75.42,overcast clouds,13.98,-90.21,Hotel Papagayo Azul
172,Morant Bay,JM,82.4,scattered clouds,17.88,-76.41,Whispering Bamboo Cove Resort
173,Gamba,GA,77.83,light rain,-2.65,10.0,
178,Manokwari,ID,84.27,moderate rain,-0.87,134.08,Swiss Belhotel Manokwari
181,Kloulklubed,PW,86.0,broken clouds,7.04,134.26,Storyboard Beach Resort
184,Vaitape,PF,80.28,light rain,-16.52,-151.75,Conrad Bora Bora Nui
186,Am Timan,TD,83.14,clear sky,11.03,20.28,Palais du chef Canton Salamt
187,Gladstone,AU,77.0,broken clouds,-23.85,151.25,Highpoint International
190,Nishihara,JP,77.0,scattered clouds,26.18,127.76,Minshuku Agaihama
193,Adrar,MR,82.51,overcast clouds,20.5,-10.07,
195,Mahebourg,MU,78.8,shower rain,-20.41,57.7,Shandrani Beachcomber Resort & Spa
196,Labuhan,ID,88.25,light rain,-6.88,112.21,bador sepret
197,Pangkalanbuun,ID,86.36,moderate rain,-2.68,111.62,Grand Kecubung Hotel
200,Saint-Pierre,RE,82.4,clear sky,-21.34,55.48,Lindsey Hôtel
204,Tessalit,ML,78.69,clear sky,20.2,1.01,
206,Acapulco,MX,79.79,scattered clouds,16.86,-99.89,HS Hotsson Smart Acapulco
210,Mitsamiouli,KM,80.74,few clouds,-11.38,43.28,Foyer ADM
211,Phalombe,MW,83.77,few clouds,-15.81,35.65,RIVONIA
212,Zhuhai,CN,88.0,clear sky,22.28,113.57,珠海粤财假日酒店
213,Alofi,NU,77.0,overcast clouds,-19.06,-169.92,Taloa Heights
218,Esperance,AU,75.2,scattered clouds,-33.87,121.9,Hospitality Esperance
221,Buta,CD,76.39,overcast clouds,2.79,24.73,HOTEL BISO NA BISO
223,Faanui,PF,79.45,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
